Wavelength(nm),Δε_Gaussian
314.47491638796,-1.42090446311158
314.869565217391,-0.766189418149568
315.264214046823,-0.195650471805354
315.658862876254,0.292220487718411
316.053511705686,0.699503100678853
316.448160535117,1.02881144844738
316.842809364548,1.28325289155386
317.23745819398,1.46638322970759
317.632107023411,1.58215864648244
318.026755852843,1.63488496006797
318.421404682274,1.6291647512388
318.816053511706,1.56984297915941
319.210702341137,1.46195172381325
319.605351170569,1.31065471001596
320,1.12119227178442
