Wavelength(nm),Δε_Gaussian,Δε_Lorentzian,Δε_Voigt
216.99665551839462,-48.06081578879627,-15.024351277799454,-38.71806970883429
217.3913043478261,-46.6619241726643,-12.231484371161637,-38.63214383451127
217.78595317725754,-45.525717470025086,-9.992840647474816,-38.54258828631638
218.18060200668896,-44.67712996614913,-8.34014247630774,-38.45170862293277
218.5752508361204,-44.1351757102725,-7.298008128659639,-38.361335528233845
218.96989966555185,-43.91257086156682,-6.884703310631489,-38.272789675585216
219.36454849498327,-44.015476667257424,-7.11214625384099,-38.1868558549041
219.7591973244147,-44.44336801350516,-7.9851737199959425,-38.10376682449544
220.15384615384613,-45.18902984712801,-9.50023570539367,-38.023197168783504
220.54849498327758,-46.23868109487863,-11.643806460262288,-37.944267257559204
220.94314381270902,-47.57222306692976,-14.39085509262472,-37.86555721605232
221.33779264214044,-49.16360678087881,-17.70370141025766,-37.785130631810695
221.7324414715719,-50.98131123749233,-21.531498744588692,-37.7005675476872
222.12709030100336,-52.98892247097109,-25.81045605759111,-37.60900612369192
222.5217391304348,-55.14580123091395,-30.464766490762702,-37.50719219729536
222.91638795986623,-57.407825470472176,-35.40808196953007,-37.391535834865
223.31103678929765,-59.72819244852413,-40.545294219997885,-37.25817384880817
223.7056856187291,-62.05826422868185,-45.77437291366083,-37.10303715776413
224.10033444816054,-64.34843969209491,-50.988076732356916,-36.92192179245435
224.49498327759198,-66.54903588364887,-56.07547735703736,-36.7105622986854
224.8896321070234,-68.61116158314289,-60.92338471737447,-36.46470626211148
225.28428093645482,-70.48756642694572,-65.41788841118455,-36.18018867679955
225.67892976588627,-72.13344968601788,-69.44629203888438,-35.853004900989745
226.07357859531774,-73.50721390996705,-72.89968814842602,-35.47938098781318
226.46822742474916,-74.57115004392152,-75.67630097769133,-35.0558402447592
226.8628762541806,-75.29204227916578,-77.68553799216393,-34.579264961618186
227.25752508361205,-75.64168276805502,-78.8524846172191,-34.04695235031648
227.6521739130435,-75.59728837284196,-79.12240223240838,-33.45666385906607
228.04682274247492,-75.1418137776061,-78.46469330300197,-32.806667154861636
228.44147157190633,-74.26415752149131,-76.87580562392941,-32.0957702096959
228.83612040133778,-72.95925975821683,-74.38065857681815,-31.323347073902024
229.23076923076923,-71.22809276017327,-71.0323593975337,-30.489355071726127
229.62541806020067,-69.07754731605723,-66.91019060141848,-29.59434330652272
230.0200668896321,-66.52022017261557,-62.1160432875233,-28.639452512890237
230.4147157190635,-63.57410950149862,-56.76961150616971,-27.6264064378062
230.80936454849495,-60.262226994442194,-51.002739190930875,-26.557495069745467
231.20401337792643,-56.612136572934375,-44.953332835437216,-25.435550161504004
231.59866220735785,-52.65543081781195,-38.75924012558106,-24.26391360692589
231.9933110367893,-48.42715706263407,-32.55246538797978,-23.046399332170562
232.38795986622074,-43.9652056424446,-26.454055272454575,-21.78724944718673
232.7826086956522,-39.309673044376595,-20.569939710654825,-20.491085471615396
233.1772575250836,-34.50221267365298,-14.987945304027388,-19.162855500803406
233.57190635451502,-29.585385640039178,-9.77610500575606,-17.807778211676638
