Wavelength(nm),Δε_Gaussian,Δε_Lorentzian,Δε_Voigt
239.09698996655516,-33.78492988994061,-13.450123976839723,-30.639891073955404
239.4916387959866,-30.0009212738079,-11.8579609398057,-29.377084834599003
239.88628762541805,-26.357062480582762,-10.585726659130346,-28.120081614421995
240.2809364548495,-22.869492938446434,-9.582298400837193,-26.872770697002398
240.67558528428094,-19.552060483881863,-8.798651183468174,-25.638817383863124
241.0702341137124,-16.416249766320465,-8.18947232638016,-24.42164405830472
241.4648829431438,-13.471151361742939,-7.714125393574696,-23.22441429540495
241.85953177257522,-10.723470339970813,-7.337129136721223,-22.050020107563984
242.25418060200667,-8.177572236429803,-7.028299764521465,-20.90107236371657
242.64882943143812,-5.835563671746672,-6.762672426573282,-19.7798943704475
243.04347826086956,-3.697404256492555,-6.520281321225026,-18.68851855565142
243.43812709030107,-1.7610459248904278,-6.285845417346145,-17.628686150938915
243.83277591973248,-0.02259546767795195,-6.048383349954302,-16.601849728435212
244.22742474916393,1.5235042160284398,-5.80076842494179,-15.609178411572255
244.62207357859535,2.8842787554686646,-5.539231787666194,-14.65156554842874
245.0167224080268,4.0680174497223724,-5.262825371113334,-13.72963861047753
245.41137123745824,5.084063426958103,-4.972861870609804,-12.843771059477916
245.80602006688966,5.942603129736525,-4.672352782463306,-11.994095910783706
246.2006688963211,6.654459140709401,-4.3654653924152775,-11.18052071248368
246.59531772575252,7.230889994077662,-4.057015771000671,-10.402743656387782
246.98996655518397,7.6834001895210156,-3.752009420187475,-9.66027053864433
247.38461538461542,8.023563152999811,-3.455236786725055,-8.95243229435691
247.77926421404683,8.262859388911695,-3.170929017515744,-8.2784028415202
248.17391304347828,8.412531556173999,-2.9024799673157253,-7.637216984394811
248.5685618729097,8.483457691581345,-2.6522420044491835,-7.027788144546464
248.96321070234114,8.486043310627558,-2.421403564604065,-6.448925708584849
249.3578595317726,8.43013265061231,-2.2099542898154594,-5.899351804561471
249.752508361204,8.324938893134394,-2.016738815092806,-5.377717343420436
250.14715719063545,8.17899282084057,-1.839593802132233,-4.8826171872547155
250.54180602006687,8.000109032294219,-1.6755561325796215,-4.412604331851855
250.93645484949832,7.795368562716937,-1.521124528745889,-3.9662030165960007
251.33110367892976,7.571116538804492,-1.3725529484195336,-3.541920699761941
